사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2025-09,2호선,0219,삼성(무역센터),220,4,"5,168","7,145","8,036","55,558","15,249","155,697","21,521","340,960","21,492","260,077","25,666","123,433","38,403","87,397","51,121","77,575","64,380","81,823","79,504","71,599","102,630","62,557","138,778","61,370","243,024","69,008","305,886","64,935","161,325","35,560","124,546","19,722","103,189","15,574","63,658","11,118","17,006","6,269","2,201","3,485",3,"1,022",0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0220,선릉,132,7,"4,691","6,478","12,326","50,274","24,919","137,903","39,875","310,537","38,440","230,610","41,746","107,770","53,196","71,204","64,365","69,341","71,749","76,712","82,168","60,075","108,747","54,583","144,270","55,018","237,031","61,414","314,553","62,637","156,233","40,463","101,384","25,707","88,384","21,730","72,137","18,955","25,078","11,231","4,075","4,700",2,54,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0221,역삼,27,3,"3,607","7,753","8,908","47,223","17,189","171,527","27,843","394,924","25,906","324,507","27,234","128,121","35,866","70,083","41,993","62,404","50,835","67,095","62,185","52,126","81,794","44,946","113,859","45,811","253,751","56,899","295,842","63,084","162,188","37,757","91,599","23,423","81,423","20,109","57,729","16,402","19,920","9,782","3,614","3,389",0,19,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0222,강남,129,9,"8,007","12,131","17,685","57,947","43,173","169,200","67,143","346,408","57,876","346,621","57,534","160,638","73,408","106,286","90,497","100,988","104,727","116,229","116,896","104,682","142,088","99,456","173,342","109,794","272,608","146,480","343,023","185,493","228,327","105,980","173,750","60,751","184,014","50,673","157,834","39,923","69,262","22,181","11,674","6,420",6,26,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0223,교대(법원.검찰청),20,0,"2,506","6,590","11,471","29,177","27,316","62,291","39,007","170,520","31,805","137,271","28,933","73,380","34,420","62,426","35,675","56,875","45,160","60,580","52,643","51,954","56,991","49,488","62,496","51,344","105,478","67,648","142,095","74,205","64,742","41,869","54,329","27,741","51,449","23,981","38,635","22,226","15,151","11,652","3,058","3,634",1,19,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0224,서초,10,1,"1,859","5,506","9,570","26,372","19,914","59,659","30,698","126,111","29,793","92,755","22,048","46,914","31,448","36,239","28,243","28,859","36,619","29,358","38,624","28,473","47,627","23,529","55,005","26,638","83,300","29,836","99,673","30,531","45,306","21,564","33,629","13,892","32,298","11,919","17,910","11,002","6,517","5,886","1,033","1,582",0,9,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0225,방배,10,1,"2,526","3,752","9,325","14,106","24,468","31,416","32,951","84,168","26,935","64,745","20,030","36,366","21,809","29,674","24,716","29,046","27,776","26,074","32,871","26,196","37,122","24,447","46,667","25,485","58,136","33,660","68,592","38,779","32,021","26,246","25,400","17,904","24,177","16,100","18,073","15,470","6,955","8,781","1,493","2,710",0,6,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0226,사당,89,4,"13,823","4,217","33,203","35,594","86,168","53,193","111,485","79,372","82,484","56,678","55,522","46,674","48,501","60,603","54,072","60,548","58,244","55,069","64,651","56,381","66,010","68,318","70,035","93,065","86,575","140,910","106,597","190,588","76,418","126,504","72,364","78,693","76,462","72,141","68,655","67,193","37,784","38,290","6,663","11,947",10,744,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0227,낙성대(강감찬),50,4,"12,733","2,651","29,343","9,995","92,037","21,616","135,216","46,375","85,546","38,360","47,307","30,461","38,495","26,168","42,235","29,482","40,713","31,686","36,611","32,853","38,981","39,192","41,859","47,222","49,417","65,369","56,306","107,064","31,844","88,911","25,619","59,343","22,714","56,467","17,198","55,606","8,886","33,481","1,706","9,690",5,190,0,0,0,0,2025-10-03 10:13:02
2025-09,2호선,0228,서울대입구(관악구청),"5,356",23,"28,946","2,798","48,200","15,458","136,303","30,670","188,888","80,119","124,382","71,169","72,577","58,161","61,002","46,585","70,955","50,991","72,254","55,172","64,966","56,475","70,031","65,424","77,075","77,258","89,660","111,089","98,922","178,457","59,786","140,740","48,810","91,791","48,507","86,595","39,919","84,466","22,105","49,265","4,228","18,345",0,"2,978",0,0,0,0,2025-10-03 10:13:02
